"","x1","x2","value","shared_name"
"1","Anaerotruncus","Actinomyces",0.305572122335434,"Anaerotruncus (positive) Actinomyces"
"2","Gardnerella","Actinomyces",0.273591548204422,"Gardnerella (positive) Actinomyces"
"3","Neisseria","Actinomyces",0.214814528822899,"Neisseria (positive) Actinomyces"
"4","CAG-352","Agathobacter",0.261242061853409,"CAG-352 (positive) Agathobacter"
"5","Lachnospiraceae_UCG-004","Agathobacter",0.339501768350601,"Lachnospiraceae_UCG-004 (positive) Agathobacter"
"6","Ruminococcus_1","Agathobacter",0.275248318910599,"Ruminococcus_1 (positive) Agathobacter"
"7","Anaerococcus","Akkermansia",0.243610382080078,"Anaerococcus (negative) Akkermansia"
"8","Anaerotruncus","Akkermansia",0.277717679738998,"Anaerotruncus (positive) Akkermansia"
"9","Gallicola","Akkermansia",0.219212308526039,"Gallicola (positive) Akkermansia"
"10","Methanobrevibacter","Akkermansia",0.255993872880936,"Methanobrevibacter (positive) Akkermansia"
"11","Hydrogenoanaerobacterium","Alistipes",0.220610946416855,"Hydrogenoanaerobacterium (positive) Alistipes"
"12","Anaerofilum","Allisonella",0.22336345911026,"Anaerofilum (positive) Allisonella"
"13","Lachnospiraceae_AC2044_group","Allisonella",0.284344017505646,"Lachnospiraceae_AC2044_group (positive) Allisonella"
"14","Indirubin","Allisonella",0.221778050065041,"Indirubin (negative) Allisonella"
"15","rac erythro-Dihydrobupropion","Allisonella",0.235513553023338,"rac erythro-Dihydrobupropion (negative) Allisonella"
"16","Campylobacter","Anaerococcus",0.227820888161659,"Campylobacter (negative) Anaerococcus"
"17","Peptoniphilus","Anaerococcus",0.274809718132019,"Peptoniphilus (positive) Anaerococcus"
"18","Porphyromonas","Anaerococcus",0.252809315919876,"Porphyromonas (positive) Anaerococcus"
"19","Prevotella_6","Anaerococcus",0.201089650392532,"Prevotella_6 (positive) Anaerococcus"
"20","Staphylococcus","Anaerococcus",0.297955870628357,"Staphylococcus (positive) Anaerococcus"
"21","Ruminococcaceae_UCG-005","Anaerofilum",0.216330483555794,"Ruminococcaceae_UCG-005 (positive) Anaerofilum"
"22","5-Methylcytidine","Anaerofilum",0.214267626404762,"5-Methylcytidine (positive) Anaerofilum"
"23","rac erythro-Dihydrobupropion","Anaerofilum",0.550863325595856,"rac erythro-Dihydrobupropion (negative) Anaerofilum"
"24","CAG-352","Anaeroplasma",0.218622356653214,"CAG-352 (negative) Anaeroplasma"
"25","Faecalibacterium","Anaeroplasma",0.240996927022934,"Faecalibacterium (negative) Anaeroplasma"
"26","4-Picoline","Anaeroplasma",0.28033509850502,"4-Picoline (positive) Anaeroplasma"
"27","Bupropion","Anaeroplasma",0.200014665722847,"Bupropion (negative) Anaeroplasma"
"28","Hydroxybupropion","Anaeroplasma",0.312219321727753,"Hydroxybupropion (positive) Anaeroplasma"
"29","Blautia","Anaerostipes",0.219357013702393,"Blautia (positive) Anaerostipes"
"30","Coprococcus_1","Anaerostipes",0.227457895874977,"Coprococcus_1 (positive) Anaerostipes"
"31","Pseudomonas","Anaerostipes",0.242867112159729,"Pseudomonas (positive) Anaerostipes"
"32","2-Amino-1-phenylethanol","Anaerostipes",0.20344153046608,"2-Amino-1-phenylethanol (positive) Anaerostipes"
"33","Gemella","Anaerotruncus",0.243170827627182,"Gemella (negative) Anaerotruncus"
"34","Fournierella","Angelakisella",0.298139363527298,"Fournierella (positive) Angelakisella"
"35","Holdemanella","Angelakisella",0.212482795119286,"Holdemanella (positive) Angelakisella"
"36","4-Aminoantipyrine","Angelakisella",0.215160012245178,"4-Aminoantipyrine (positive) Angelakisella"
"37","Corynebacterium","Atopobium",0.317100197076797,"Corynebacterium (positive) Atopobium"
"38","Dielma","Atopobium",0.240310803055763,"Dielma (positive) Atopobium"
"39","Shuttleworthia","Atopobium",0.324723660945892,"Shuttleworthia (positive) Atopobium"
"40","Staphylococcus","Atopobium",0.280075669288635,"Staphylococcus (positive) Atopobium"
"41","Prevotella_9","Bacteroides",0.254144191741943,"Prevotella_9 (negative) Bacteroides"
"42","Octanoylcarnitine","Bacteroides",0.212040930986404,"Octanoylcarnitine (positive) Bacteroides"
"43","Desulfovibrio","Barnesiella",0.28631329536438,"Desulfovibrio (negative) Barnesiella"
